"dose","chrom","start","end","atac","h3k27ac","pro_plus_abs","pro_minus_abs","proseq_mag","proseq_bidir","atac_log","h3k27ac_log","proseq_log","enhancer_score","pc1_var_explained","strength_tier"
"100pM","chr17",16942338,16942570,27.55555556,2.8,0.768,0.905,1.673,0.848618784530387,3.35185150771464,1.33500106673234,0.983201437156782,-1.43129666082737,0.75506,"weak"
"100pM","chr17",27247444,27247680,158.4545455,7.666666667,0,2.178,2.178,0,5.07175890041882,2.15948424939183,1.15625206811452,0.264951256189872,0.75506,"middle"
"100pM","chr17",27321684,27321875,30.125,5.166666667,2.682,1.513333333,4.195333333,0.564255530574198,3.43801135478487,1.81915844347022,1.6477607866891,-0.789150729386825,0.75506,"weak"
"100pM","chr17",28498023,28498234,225.4444444,18.75,42.33,3.63,45.96,0.0857547838412473,5.42249963625018,2.98315349134713,3.84929617551984,2.23633570189597,0.75506,"strong"
"100pM","chr17",28536794,28537335,110.5454545,29.90909091,2.63375,2.358,4.99175,0.895301376364499,4.71443217150504,3.43105034484125,1.79038352304812,1.03156945659614,0.75506,"strong"
"100pM","chr17",29158867,29159116,33.72727273,4.111111111,0.32,0,0.32,0,3.54752533588674,1.63141681913114,0.277631736598279,-1.47010203572934,0.75506,"weak"
"100pM","chr17",31655091,31655325,114.625,3.875,2.555,4.233333333,6.788333333,0.603543307134137,4.75035219583259,1.58412010444981,2.05262688744148,0.154938641774323,0.75506,"middle"
"100pM","chr17",36000804,36001051,33.8,1,0.96,0,0.96,0,3.54961738678043,0.693147180559945,0.672944473242426,-1.80189981066094,0.75506,"weak"
"100pM","chr17",40311330,40311520,34.875,61.75,8.62,2.722,11.342,0.315777262180975,3.58004067407979,4.13915857801189,2.51300807989888,1.0049302251682,0.75506,"strong"
"100pM","chr17",40322324,40322625,173.8333333,45.15384615,51.16857143,10.13,61.29857143,0.197973086152271,5.16383313897758,3.83198029767128,4.13193849503291,2.66777715341689,0.75506,"strong"
"100pM","chr17",40448676,40449010,165.1428571,20,29.3275,6.478571429,35.806071429,0.220904319461256,5.1128480032054,3.04452243772342,3.60566281605014,1.94655429852171,0.75506,"strong"
"100pM","chr17",40552543,40552733,19.375,22,3.59,0.9066666667,4.4966666667,0.252553389052925,3.01430865912693,3.13549421592915,1.70414184790946,-0.316553613567674,0.75506,"middle"
"100pM","chr17",40576062,40576582,113.5,17.05555556,37.07571429,3.37,40.44571429,0.0908950795564025,4.74057482299429,2.89345342467973,3.7243844815433,1.66874095539209,0.75506,"strong"
"100pM","chr17",40582367,40582580,122.4,15.3,11.49333333,4.31,15.80333333,0.375000000108759,4.81543111147129,2.79116510781272,2.82157727922806,1.23374967592962,0.75506,"strong"
"100pM","chr17",40687476,40687793,33.69230769,48.83333333,158.8385714,13.155,171.9935714,0.0828199339999856,3.54651798197462,3.90868410409574,5.15325443426977,2.10771085950154,0.75506,"strong"
"100pM","chr17",40701124,40701328,31.2,15.33333333,8.936666667,5.442,14.378666667,0.608951883602799,3.47196645255036,2.79320800923844,2.73298126766668,0.289519389710337,0.75506,"middle"
"100pM","chr17",41416014,41416249,32.11111111,14.9,1.916666667,2.95,4.866666667,0.649717514237288,3.49986890913563,2.76631910922619,1.76928661343281,-0.164088668140983,0.75506,"middle"
"100pM","chr17",41506729,41507022,35.91666667,11.16666667,2.075,1.135,3.21,0.546987951807229,3.60866312034743,2.49869997219431,1.43746264769429,-0.397007130907646,0.75506,"middle"
"100pM","chr17",41536052,41536282,199,42.2,6.705,18.8225,25.5275,0.356222605923761,5.29831736654804,3.76584049525006,3.27818193076561,2.31622793062916,0.75506,"strong"
"100pM","chr17",43539428,43539654,50.5,0.6666666667,0.48,2.42,2.9,0.198347107438017,3.94158180766969,0.510825623785991,1.3609765531356,-1.31297109489833,0.75506,"weak"
"100pM","chr17",45043200,45043527,118.6428571,0.6666666667,2.298,6.892,9.19,0.333430063842136,4.7845111142857,0.510825623785991,2.32140684723463,-0.290314890967754,0.75506,"middle"
"100pM","chr17",45901164,45901417,47.45454545,14.33333333,14.748,1.51,16.258,0.102386764307025,3.88062615127367,2.73002910760359,2.84827580408612,0.583947129287699,0.75506,"middle"
"100pM","chr17",47674067,47674299,62.4,12.875,10.342,1.21,11.552,0.116998646296654,4.14946386144318,2.6300886596325,2.52988001543073,0.558093045861921,0.75506,"middle"
"100pM","chr17",47693192,47693441,89.88888889,5.222222222,0.958,2.54,3.498,0.377165354330709,4.50963775927875,1.82812711336322,1.50363285353712,-0.13205295383166,0.75506,"middle"
"100pM","chr17",48536715,48536938,5.428571429,1.6,0,0.905,0.905,0,1.86075234078167,0.955511445027436,0.644482008578664,-2.8053153044578,0.75506,"weak"
"100pM","chr17",49049149,49049400,27.18181818,5.4,0,0.3033333333,0.3033333333,0,3.33867702461631,1.85629799036563,0.264925085303589,-1.49172219118621,0.75506,"weak"
"100pM","chr17",50317327,50317567,107.6,14.9,20.302,5.443333333,25.745333333,0.268118083587824,4.68767140749983,2.76631910922619,3.28636000328188,1.35467606276629,0.75506,"strong"
"100pM","chr17",50785246,50785461,26.3,5,2.155,0,2.155,0,3.30688670219091,1.79175946922805,1.14898849599318,-1.12928019586236,0.75506,"weak"
"100pM","chr17",50944376,50944836,418.2631579,122.2631579,5.608571429,138.614,144.222571429,0.0404617962759894,6.0384987845877,4.81432156503392,4.97826754092245,4.20292562938339,0.75506,"strong"
"100pM","chr17",50948242,50948467,256.5,64.33333333,46.9275,11.248,58.1755,0.239688881785733,5.55101972010379,4.17950237051139,4.0805076048785,3.09661367089036,0.75506,"strong"
"100pM","chr17",50950049,50950243,76.77777778,153.1111111,11.684,9.436,21.12,0.807600136939404,4.35385575773576,5.03767384290651,3.09648217665413,2.30096533541822,0.75506,"strong"
"100pM","chr17",51522787,51522985,7.25,1.2,0,0,0,0,2.11021320034659,0.78845736036427,0,-3.03623901682829,0.75506,"weak"
"100pM","chr17",55707519,55707803,39.41666667,4.333333333,0.32,1.36,1.68,0.235294117647059,3.69924224123196,1.67397643350917,0.985816794522765,-1.00830779913676,0.75506,"weak"
"100pM","chr17",56173942,56174168,94,21.25,73.74,7.56,81.3,0.102522375915378,4.55387689160054,3.10234200861225,4.41037110768302,1.98478908417799,0.75506,"strong"
"100pM","chr17",56406676,56406954,17.8,3.428571429,0.958,0,0.958,0,2.9338568698359,1.48807705552661,0.671923544108319,-1.77512606878292,0.75506,"weak"
"100pM","chr17",57085681,57085891,207.3333333,71.22222222,19.538,7.074,26.612,0.362063670795373,5.33913936090829,4.27974778552269,3.31825046084123,2.64797397102213,0.75506,"strong"
"100pM","chr17",57166895,57167092,49.44444444,11.42857143,2.108,1.513333333,3.621333333,0.717900063092979,3.92087262061702,2.51999796971421,1.53068326367307,-0.13101330409261,0.75506,"middle"
"100pM","chr17",57340599,57340912,212.2307692,33.78571429,53.44,10.20375,63.64375,0.190938435628743,5.36237500270396,3.54920679359053,4.16889142614398,2.66183960811246,0.75506,"strong"
"100pM","chr17",57342873,57343257,78,20.6875,86.82888889,3.111428571,89.940317461,0.0358340249515543,4.36944785246702,3.07673605770708,4.51020343927487,1.893957569489,0.75506,"strong"
"100pM","chr17",57357458,57358011,170.3636364,93,29.76833333,41.65333333,71.42166666,0.71466869395924,5.14378782729594,4.54329478227,4.28250551788102,3.12063274317589,0.75506,"strong"
"100pM","chr17",57375796,57376110,95.5,20,10.055,6.2,16.255,0.616608652411735,4.56954300834494,3.04452243772342,2.84810195654997,1.22165471631267,0.75506,"strong"
"100pM","chr17",57411975,57412197,51.44444444,8.375,2.155,0,2.155,0,3.95975440816459,2.23804657185647,1.14898849599318,-0.442567568639579,0.75506,"middle"
"100pM","chr17",57834186,57834464,226.4166667,6.285714286,0.32,3.176666667,3.496666667,0.100734522549766,5.42678387106691,1.98591548370823,1.50333638162568,0.572062073455063,0.75506,"middle"
"100pM","chr17",57899844,57900129,285.2307692,127.6666667,48.04166667,33.95285714,81.99452381,0.70673770277837,5.65679837077759,4.85722508105579,4.41877462742717,3.7045192034793,0.75506,"strong"
"100pM","chr17",58639672,58640007,223.5333333,38.64285714,0.48,4.405714286,4.885714286,0.108949416335347,5.41402417411155,3.6799107840591,1.77252810734871,1.63162776021316,0.75506,"strong"
"100pM","chr17",60345121,60345454,319,14.58333333,6.2275,10.9975,17.225,0.566265060240964,5.76832099579377,2.74620196685268,2.90279427789472,1.88803944682825,0.75506,"strong"
"100pM","chr17",60346863,60347328,97.2,21.25,21.739,26.036,47.775,0.834959287140882,4.58700621536042,3.10234200861225,3.88721788650918,1.75873624084377,0.75506,"strong"
"100pM","chr17",60567981,60568223,95.5,7.428571429,0,1.21,1.21,0,4.56954300834494,2.13162729490125,0.792992515529661,-0.260619734931294,0.75506,"middle"
"100pM","chr17",61723133,61723645,322.8571429,26.7,11.0125,3.2875,14.3,0.298524404086266,5.78030250158455,3.32143241319329,2.72785282839839,2.13237544465036,0.75506,"strong"
"100pM","chr17",62804828,62805074,97.4,10.8,5.108333333,2.4925,7.600833333,0.487928221891545,4.58904080405821,2.46809953147162,2.15185909775109,0.584292589272137,0.75506,"middle"
"100pM","chr17",63453092,63453366,79.90909091,4,0.64,3.8575,4.4975,0.165910563836682,4.39332618993905,1.6094379124341,1.70429344344678,-0.236407230475685,0.75506,"middle"
"100pM","chr17",63752670,63753037,111.875,1.333333333,0,6.22,6.22,0,4.72628101173715,0.847297860244346,1.97685495290473,-0.306236097613349,0.75506,"middle"
"100pM","chr17",64074148,64074489,32.15384615,7,5.746,7.905714286,13.651714286,0.726816046233219,3.5011587325262,2.07944154167984,2.68455734472644,-0.110062312417917,0.75506,"middle"
"100pM","chr17",65308727,65308964,58.33333333,1,0,0,0,0,4.0831712615678,0.693147180559945,0,-1.76258274133615,0.75506,"weak"
"100pM","chr17",66952262,66952635,208.5,85.0625,20.70875,6.046666667,26.755416667,0.291986076754995,5.34472373936219,4.45507377648887,3.32343101635154,2.75151434371846,0.75506,"strong"
"100pM","chr17",67467599,67467926,62.13333333,8.666666667,1.342,1.814,3.156,0.739801543550165,4.14524889203107,2.26868354135285,1.42455307323698,-0.170035081362779,0.75506,"middle"
"100pM","chr17",68339655,68339930,25.90909091,3,0,0,0,0,3.29246418155947,1.38629436111989,0,-1.90945515324427,0.75506,"weak"
"100pM","chr17",71543649,71543840,9.875,0,0,0.3033333333,0.3033333333,0,2.38646657697475,0,0.264925085303589,-3.16242644964657,0.75506,"weak"
"100pM","chr17",71974159,71974416,49.18181818,0,0,0,0,0,3.91565277344249,0,0,-2.25999575690018,0.75506,"weak"
"100pM","chr17",72517855,72518057,71.22222222,27.57142857,11.81333333,6.953333333,18.766666663,0.588600451605136,4.27974778552269,3.35240721744272,2.98399701715007,1.26222237238214,0.75506,"strong"
"100pM","chr17",72617994,72618288,153.8461538,9.5,2.875,2.04,4.915,0.709565217391304,5.04243206788019,2.35137525716348,1.77749149743035,0.646641962544756,0.75506,"strong"
"100pM","chr17",72640461,72640770,81.61538462,9.25,4.47,0.544,5.014,0.121700223713647,4.41419591766314,2.32727770558442,1.79409008456634,0.218734633957875,0.75506,"middle"
"100pM","chr17",73612152,73612439,78.08333333,10.45454545,5.745,7.56,13.305,0.759920634920635,4.37050214877978,2.43838663375628,2.66060912650207,0.662350130673551,0.75506,"strong"
"100pM","chr17",74758337,74758579,143,99.54545455,25.85666667,24.03833333,49.895,0.929676421048127,4.969813299576,4.61060990932912,3.9297646869043,2.87358718549705,0.75506,"strong"
"100pM","chr17",74760670,74761005,207.6666667,64.30769231,155.7425,11.90625,167.64875,0.0764483040916898,5.34073808259173,4.17910982888515,5.12781814968061,3.4521408398107,0.75506,"strong"
"100pM","chr17",74769774,74770119,134.8,29.75,8.73875,14.515,23.25375,0.602049603858078,4.9111832151246,3.42588999425253,3.18857124460335,1.82468076764216,0.75506,"strong"
"100pM","chr17",78421122,78421729,144.9230769,28.625,8.938888889,6.020909091,14.95979798,0.673563478164406,4.98307961231533,3.3886185994553,2.77007293404681,1.65368101966231,0.75506,"strong"
"100pM","chr17",79017580,79017872,85.63636364,4.444444444,0,0.9066666667,0.9066666667,0,4.4617196308978,1.69459572069277,0.645356516741079,-0.645800345078371,0.75506,"middle"
"100pM","chr17",79812973,79813275,90.38461538,164.5384615,21.61571429,120.0042857,141.61999999,0.180124519419559,4.51507714241055,5.1092035635878,4.96018375053004,3.33372755030011,0.75506,"strong"
"100pM","chr17",80047261,80047554,147.6923077,8.25,12.45,1.36,13.81,0.109236947791165,5.00187912179853,2.22462355152433,2.69530262827971,0.984675806370757,0.75506,"strong"
"100pM","chr17",80068458,80068837,43,9.583333333,0.96,0.9075,1.8675,0.9453125,3.78418963391826,2.35928043663909,1.05344057002139,-0.538667916610549,0.75506,"middle"
"100pM","chr17",80394718,80394935,97.3,10.875,7.6625,7.863333333,15.525833333,0.974459516785691,4.58802402715312,2.47443534992071,2.80492481308957,0.89712048317718,0.75506,"strong"
"100pM","chr17",82103782,82104202,138.8333333,68.1875,3.23375,7.14375,10.3775,0.452668416447944,4.94045123700077,4.23682021046886,2.43163772090866,1.93522329906688,0.75506,"strong"
"100pM","chr17",82614020,82614256,52.36363636,3.5,1.15,1.36,2.51,0.845588235294118,3.97712954696158,1.50407739677627,1.25561603747777,-0.787710514104602,0.75506,"weak"
"100pM","chr17",82888973,82889362,164.1176471,84.875,6.916666667,38.36142857,45.278095237,0.180302635350996,5.10665823255504,4.45289275054251,3.83466874411029,2.83290681887956,0.75506,"strong"
"100pM","chr17",83180984,83181218,79.4,12.75,8.38,1.813333333,10.193333333,0.216388225894988,4.38701417618492,2.62103882411258,2.41531836295151,0.658412216369251,0.75506,"strong"
"100pM","chr18",106750,106979,41.4,23.4,3.35,1.1325,4.4825,0.338059701492537,3.74714836223791,3.19458313229916,1.70156120130991,0.207764656101333,0.75506,"middle"
"100pM","chr18",107139,107410,96,22.54545455,1.436666667,5.141666667,6.578333334,0.279416531651253,4.57471097850338,3.15893278909422,2.02529329869683,0.898073419563397,0.75506,"strong"
"100pM","chr18",109283,110082,150.9393939,21.54166667,5.029166667,3.446666667,8.475833334,0.685335542688627,5.02348171699248,3.11536544864641,2.24874469791899,1.28169690968156,0.75506,"strong"
"100pM","chr18",111420,111710,125.3076923,91.30769231,48.70571429,49.50428571,98.21,0.983868640693493,4.83872093248994,4.52512747833955,4.59723881566181,3.05482512612368,0.75506,"strong"
"100pM","chr18",499416,499764,188.8666667,3.25,1.4375,2.268333333,3.705833333,0.633725202150437,5.24632207160522,1.44691898293633,1.54880287382591,0.173099876288191,0.75506,"middle"
"100pM","chr18",2894701,2894890,39.57142857,4.333333333,0,0.455,0.455,0,3.70306408907068,1.67397643350917,0.375005900623456,-1.29567517812478,0.75506,"weak"
"100pM","chr18",3395503,3395743,96.3,11.71428571,8.8575,2.0425,10.9,0.230595540502399,4.57779898919196,2.54272622033975,2.47653840011748,0.772277836705272,0.75506,"strong"
"100pM","chr18",3646249,3646547,46.38461538,4.833333333,0.32,0,0.32,0,3.85829760597458,1.76358859220422,0.277631736598279,-1.18777616788262,0.75506,"weak"
"100pM","chr18",3689111,3689511,91.64705882,15.0625,1.15,6.998571429,8.148571429,0.164319248816229,4.52879720716542,2.77648736265544,2.21359773912005,0.74428366561609,0.75506,"strong"
"100pM","chr18",3722580,3722840,148.4545455,17.625,22.6,36.74,59.34,0.615133369624388,5.00699230312189,2.92450476426562,4.09999523373092,2.0434034285898,0.75506,"strong"
"100pM","chr18",5787965,5788268,97.61538462,3.727272727,8.616666667,0.455,9.071666667,0.0528046421643016,4.59122728006588,1.55334844572536,2.30972620117851,0.152904188305366,0.75506,"middle"
"100pM","chr18",9495990,9496198,41.66666667,14.66666667,2.236666667,0.6066666667,2.8433333337,0.27123695973603,3.75341797532963,2.75153531325471,1.34634004570826,-0.202578208159383,0.75506,"middle"
"100pM","chr18",9705336,9705568,32.88888889,8.111111111,0,0.455,0.455,0,3.52308719930398,2.20949466991584,0.375005900623456,-1.11941139053903,0.75506,"weak"
"100pM","chr18",9736974,9737292,50.92307692,6,2.713333333,0,2.713333333,0,3.94976333335173,1.94591014905531,1.31192994574126,-0.534110955043726,0.75506,"middle"
"100pM","chr18",9757682,9758098,157.0588235,45.875,4.377142857,14.12571429,18.502857147,0.309870550057685,5.06296726437319,3.84748448429057,2.97056097519562,2.05728657486099,0.75506,"strong"
"100pM","chr18",9785415,9785685,29.36363636,1.4,2.875,0,2.875,0,3.41324572005857,0.8754687373539,1.35454566280531,-1.46884311598283,0.75506,"weak"
"100pM","chr18",9804132,9804460,163.3846154,48.38461538,9.441428571,12.7,22.141428571,0.743419572519685,5.1022088979512,3.89963894613497,3.14162445585821,2.19382313164193,0.75506,"strong"
"100pM","chr18",10122071,10122543,103.5,5.636363636,4.15,1.814444444,5.964444444,0.437215528674699,4.64918707140487,1.89256416829523,1.94081784008778,0.205067514906693,0.75506,"middle"
"100pM","chr18",10318056,10318264,37.375,0,0,0,0,0,3.64740620590736,0,0,-2.44035762594207,0.75506,"weak"
"100pM","chr18",11177623,11178084,24.31578947,6.615384615,1.1975,0.3033333333,1.5008333333,0.253305497536534,3.23142829079379,2.03017049262255,0.916624009650947,-1.15796810523518,0.75506,"weak"
"100pM","chr18",11269017,11269293,48.91666667,3.25,1.435,0.6066666667,2.0416666667,0.422764227665505,3.91035494839423,1.44691898293633,1.1124056108114,-0.932316118182871,0.75506,"weak"
"100pM","chr18",11983719,11983952,22.27272727,9.666666667,15.16166667,0,15.16166667,0,3.147282171564,2.36712361416287,2.78264218329465,-0.141743713570082,0.75506,"middle"
"100pM","chr18",13394989,13395231,68.18181818,3.166666667,3.45,2.116666667,5.566666667,0.613526570144928,4.23673808503703,1.42711635572015,1.88200634712659,-0.358546778520099,0.75506,"middle"
"100pM","chr18",13539841,13540261,46.83333333,57.72222222,13.51444444,16.42,29.93444444,0.823047773447016,3.86772274646188,4.07281822793623,3.43187026987551,1.5976948839099,0.75506,"strong"
"100pM","chr18",14946616,14946891,30.90909091,3.166666667,1.2,0,1.2,0,3.46289095069599,1.42711635572015,0.78845736036427,-1.3979421726917,0.75506,"weak"
"100pM","chr18",21251541,21251825,15.2,2.285714286,1.1975,0.455,1.6525,0.379958246346555,2.78501124223834,1.18958406696079,0.975502591506001,-1.89680295939923,0.75506,"weak"
"100pM","chr18",21330159,21330443,36.66666667,4.5,1.4375,1.1325,2.57,0.787826086956522,3.62877553013273,1.70474809223843,1.27256559579155,-0.902493174922052,0.75506,"weak"
"100pM","chr18",23257886,23258073,65.57142857,5.8,8.62,0.6066666667,9.2266666667,0.0703789636542924,4.19827548504887,1.91692261218206,2.32499868783421,0.0977696451351825,0.75506,"middle"
"100pM","chr18",23627308,23627625,47.66666667,18.25,4.788333333,6.714,11.502333333,0.713186376675603,3.88499433310872,2.95751106073379,2.52591529352821,0.560146659182757,0.75506,"middle"
"100pM","chr18",23629437,23629838,80.11764706,10,5.364,5.743333333,11.107333333,0.933952408643874,4.39590053375159,2.39789527279837,2.49381132960067,0.57777501211158,0.75506,"middle"
"100pM","chr18",23684649,23684837,43.375,0.3333333333,0,0,0,0,3.79267624779558,0.287682072426781,0,-2.18298459491766,0.75506,"weak"
"100pM","chr18",23722671,23722924,40.09090909,3.6,5.174,3.933333333,9.107333333,0.760211312910707,3.71578690701174,1.52605630349505,2.3132612329583,-0.449191020498434,0.75506,"middle"
"100pM","chr18",24051347,24051605,33.09090909,5,3.64,0.3033333333,3.9433333333,0.0833333333241758,3.52903075314537,1.79175946922805,1.59803986747499,-0.766762661147572,0.75506,"weak"
"100pM","chr18",25040080,25040280,39.66666667,2,1.915,0,1.915,0,3.70540875614711,1.09861228866811,1.06986981980246,-1.28365829438564,0.75506,"weak"
"100pM","chr18",25042797,25043079,38.92307692,2,0,2.42,2.42,0,3.68695452562728,1.09861228866811,1.22964055107451,-1.22022714541812,0.75506,"weak"
"100pM","chr18",25168659,25168901,41.81818182,5.875,1.276666667,2.95,4.226666667,0.432768361694915,3.75696282126051,1.92789164355263,1.65377372631793,-0.511482349498477,0.75506,"middle"
"100pM","chr18",27042194,27042397,11.77777778,7.142857143,0.48,0.455,0.935,0.947916666666667,2.54770755120094,2.09714111879678,0.660107326481745,-1.70226945387734,0.75506,"weak"
"100pM","chr18",36099394,36099637,54.2,18.36363636,6.225,7.105,13.33,0.876143560872625,4.01096295328305,2.96339689272326,2.66235524184008,0.712876669781779,0.75506,"strong"
"100pM","chr18",43876789,43877036,29.63636364,7.3,2.875,0,2.875,0,3.42218765767269,2.11625551480255,1.35454566280531,-0.774048515357624,0.75506,"weak"
"100pM","chr18",44066689,44066897,70.71428571,2.6,4.47,0.455,4.925,0.10178970917226,4.27268997057666,1.28093384546206,1.77918068702119,-0.464330976478071,0.75506,"middle"
"100pM","chr18",44729793,44730007,58.7,4.571428571,0.48,0.3033333333,0.7833333333,0.631944444375,4.08933202039856,1.71765149699741,0.578484272221114,-0.915127853819524,0.75506,"weak"
"100pM","chr18",44831724,44831991,38,2.714285714,0,0.3033333333,0.3033333333,0,3.66356164612965,1.31218638888925,0.264925085303589,-1.57532419392214,0.75506,"weak"
"100pM","chr18",44918093,44918324,50.75,9.571428571,0.768,6.3525,7.1205,0.120897284533648,3.94642443214548,2.35815494410832,2.09439172863252,0.0639038921140809,0.75506,"middle"
"100pM","chr18",45342196,45342406,22.875,0.5,1.596666667,0,1.596666667,0,3.17283188636679,0.405465108108164,0.954228571342917,-2.08141896252353,0.75506,"weak"
"100pM","chr18",45359573,45359907,96.73333333,4.8,0.9583333333,0.455,1.4133333333,0.474782608712166,4.58224268131028,1.75785791755237,0.881008917715703,-0.417787434527325,0.75506,"middle"
"100pM","chr18",45793328,45793691,70,9.8,0.32,7.935,8.255,0.0403276622558286,4.26267987704132,2.37954613413017,2.22516394602546,0.350494670084231,0.75506,"middle"
"100pM","chr18",45802671,45803007,186.5,9.833333333,10.21333333,2.871666667,13.084999997,0.281168407435107,5.23377884541047,2.38262780063681,2.64511040111534,1.20448489370287,0.75506,"strong"
"100pM","chr18",46113798,46114244,95.29411765,3.636363636,2.03625,0.905,2.94125,0.444444444444444,4.56740723334546,1.53393035984752,1.37149793187713,-0.319245254658156,0.75506,"middle"
"100pM","chr18",48123986,48124231,73.9,10.375,2.635,2.723333333,5.358333333,0.967564259604353,4.31615389052317,2.43141796483701,1.84976628844999,0.237051984993739,0.75506,"middle"
"100pM","chr18",48308291,48308502,63.44444444,23,1.596666667,0,1.596666667,0,4.16580352613528,3.17805383034795,0.954228571342917,0.125340930486843,0.75506,"middle"
"100pM","chr18",48983017,48983281,64.58333333,8.1,2.49,15.12,17.61,0.16468253968254,4.18332159857858,2.2082744135228,2.92369907065416,0.533638014189826,0.75506,"middle"
"100pM","chr18",48990858,48991239,126.6875,12.66666667,3.193333333,7.145,10.338333333,0.446932586843947,4.84958587257784,2.6149597782801,2.42818931509952,0.972168086320448,0.75506,"strong"
"100pM","chr18",49723681,49723884,41,0.5,0,0,0,0,3.73766961828337,0.405465108108164,0,-2.1545861842411,0.75506,"weak"
"100pM","chr18",51491696,51491917,38.5,3.571428571,5.265,0.3033333333,5.5683333333,0.0576131687179487,3.67630067190708,1.51982575365066,1.88226012197378,-0.683784956455065,0.75506,"middle"
"100pM","chr18",57141666,57141981,57.28571429,5.5,1.435,0.68,2.115,0.473867595818815,4.06535702542238,1.87180217690159,1.13622915223942,-0.580928344707658,0.75506,"middle"
"100pM","chr18",57242392,57242622,42.4,1.5,6.383333333,1.36,7.743333333,0.213054830298332,3.77045944110636,0.916290731874155,2.16829150517255,-0.819735721044763,0.75506,"weak"
"100pM","chr18",57793734,57794000,48.18181818,4.428571429,3.35,4.686666667,8.036666667,0.714793741058692,3.89552400601114,1.69167601075002,2.20129037487935,-0.289552038635995,0.75506,"middle"
"100pM","chr18",59952740,59952926,12.375,41.33333333,1.6775,1.815,3.4925,0.924242424242424,2.59338729278207,3.74557479771174,1.50240933967558,-0.356661161126358,0.75506,"middle"
"100pM","chr18",59954341,59954553,68.7,9.25,15.16333333,0.9075,16.07083333,0.0598483183248732,4.24420031776648,2.32727770558442,2.83737135400962,0.599654372396668,0.75506,"middle"
"100pM","chr18",60053903,60054101,35.11111111,4.333333333,0,0,0,0,3.58660060496275,1.67397643350917,0,-1.55198832027975,0.75506,"weak"
"100pM","chr18",61922848,61923034,13.42857143,0,0,0,0,0,2.66921036788496,0,0,-3.09807053260065,0.75506,"weak"
"100pM","chr18",63155693,63155916,128.7,24,2.236666667,2.176,4.412666667,0.972876303878856,4.8652240913224,3.2188758248682,1.68874188583373,0.966929364978624,0.75506,"strong"
"100pM","chr18",63225786,63226018,58.3,32,30.485,12.24666667,42.73166667,0.401727625717566,4.08260930600368,3.49650756146648,3.77807247743581,1.58659262009753,0.75506,"strong"
"100pM","chr18",63241402,63241909,56.2,17.77777778,13.597,3.11,16.707,0.228726925056998,4.04655389838575,2.9326741377052,2.87396004162408,0.820195997800322,0.75506,"strong"
"100pM","chr18",63254719,63255070,67.66666667,10.84615385,5.3875,3.476666667,8.864166667,0.645320959071926,4.22926388017001,2.47200324527677,2.28890866221159,0.409609256198392,0.75506,"middle"
"100pM","chr18",63257353,63257633,78.58333333,10.28571429,10.855,12.24666667,23.10166667,0.886363636122383,4.37680469065084,2.42353770379145,3.18228099453695,0.905969852266173,0.75506,"strong"
"100pM","chr18",63259557,63259809,59,28.2,10.855,95.25333333,106.10833333,0.113959266521345,4.0943445622221,3.37416870927424,4.67384078329696,1.95177012089281,0.75506,"strong"
"100pM","chr18",69752964,69753171,22.66666667,0.3333333333,0,0,0,0,3.16406758851405,0.287682072426781,0,-2.60564436546284,0.75506,"weak"
"100pM","chr18",74242668,74243027,97.3125,11.28571429,10.055,8.811428571,18.866428571,0.876323080159125,4.5881511808185,2.50843714754703,2.98903130065017,1.00347184169615,0.75506,"strong"
"100pM","chr18",74961193,74961456,38.58333333,5.444444444,0.9575,0,0.9575,0,3.67840815416243,1.86321843314123,0.671668148882821,-1.06638329491866,0.75506,"weak"
"100pM","chr18",75825529,75825729,16.88888889,2.5,0,1.21,1.21,0,2.88417978771036,1.25276296849537,0.792992515529661,-1.8816860556304,0.75506,"weak"
"100pM","chr18",76857589,76857870,100.6363636,14.27272727,3.671666667,3.476666667,7.148333334,0.946890603727018,4.62140138055889,2.72606870642632,2.09781340744432,0.723599972946205,0.75506,"strong"
"100pM","chr18",77043367,77043654,69.38461538,1,0,2.418333333,2.418333333,0,4.25397470774841,0.693147180559945,1.22915310275872,-1.06428993143375,0.75506,"weak"
"100pM","chr18",77054764,77055010,188.9090909,34.77777778,8.62,6.653333333,15.273333333,0.77184841450116,5.24654548871033,3.5773269682703,2.78952777627622,1.94481851111419,0.75506,"strong"
"100pM","chr18",77262856,77263225,87.4,2.222222222,2.188571429,0.9066666667,3.0952380957,0.414273281048119,4.4818719696436,1.17007125258129,1.40982485864288,-0.560548540675873,0.75506,"middle"
"100pM","chr18",78892885,78893138,18.54545455,18.90909091,0.96,5.078,6.038,0.18905080740449,2.97274275556185,2.99117645706379,1.95132403889939,-0.307283337300287,0.75506,"middle"
"100pM","chr18",78893598,78893837,165.3,11.4,4.788333333,3.628,8.416333333,0.757674904333984,5.11379338619888,2.51769647261099,2.24244577003232,1.00765370629269,0.75506,"strong"
"100pM","chr18",78974698,78974914,41.77777778,2,0,1.815,1.815,0,3.75601875700351,1.09861228866811,1.03496226159165,-1.26619924329069,0.75506,"weak"
"100pM","chr18",79062859,79063130,237.8333333,10.75,9.815,24.04,33.855,0.408277870216306,5.47576595846055,2.46385324059017,3.55119659893836,1.8423773538275,0.75506,"strong"
"100pM","chr19",454919,455227,35.21428571,1.25,0.48,0.455,0.935,0.947916666666667,3.58945367385758,0.810930216216329,0.660107326481745,-1.71582502293567,0.75506,"weak"
