"peak_chrom","peak_start","peak_end","alu_chrom","alu_start","alu_end","subfamily","distance","set","dose","alu_key","has_motif"
"chr11",44300834,44301317,"chr11",44299354,44299654,"AluY",1181,"SetA","1nM","chr11:44299354-44299654",FALSE
"chr11",60757215,60757506,"chr11",60755234,60755532,"AluY",1684,"SetA","1nM","chr11:60755234-60755532",FALSE
"chr11",60880953,60881327,"chr11",60884732,60885043,"AluY",3406,"SetA","1nM","chr11:60884732-60885043",FALSE
"chr11",69654436,69654728,"chr11",69660430,69660726,"AluY",5703,"SetA","1nM","chr11:69660430-69660726",FALSE
"chr11",75036040,75036348,"chr11",75036975,75037269,"AluY",628,"SetA","1nM","chr11:75036975-75037269",FALSE
"chr11",78268292,78268564,"chr11",78267576,78267881,"AluY",412,"SetA","1nM","chr11:78267576-78267881",FALSE
"chr11",79059780,79060568,"chr11",79058261,79058565,"AluY",1216,"SetA","1nM","chr11:79058261-79058565",FALSE
"chr11",83362086,83362310,"chr11",83361478,83361799,"AluY",288,"SetA","1nM","chr11:83361478-83361799",FALSE
"chr11",84687532,84687780,"chr11",84685712,84685986,"AluY",1547,"SetA","1nM","chr11:84685712-84685986",FALSE
"chr11",94544166,94544388,"chr11",94542625,94542926,"AluY",1241,"SetA","1nM","chr11:94542625-94542926",FALSE
"chr11",101299201,101299930,"chr11",101302394,101302690,"AluY",2465,"SetA","1nM","chr11:101302394-101302690",FALSE
"chr11",101300505,101300818,"chr11",101302394,101302690,"AluY",1577,"SetA","1nM","chr11:101302394-101302690",FALSE
"chr11",101436522,101436865,"chr11",101431407,101431723,"AluY",4800,"SetA","1nM","chr11:101431407-101431723",FALSE
"chr11",101438150,101438501,"chr11",101431407,101431723,"AluY",6428,"SetA","1nM","chr11:101431407-101431723",FALSE
"chr11",101441745,101442110,"chr11",101431407,101431723,"AluY",10023,"SetA","1nM","chr11:101431407-101431723",FALSE
"chr11",101443725,101444034,"chr11",101431407,101431723,"AluY",12003,"SetA","1nM","chr11:101431407-101431723",FALSE
"chr11",117185207,117185483,"chr11",117185037,117185347,"AluY",0,"SetA","1nM","chr11:117185037-117185347",FALSE
"chr11",129694447,129694864,"chr11",129693756,129694065,"AluY",383,"SetA","1nM","chr11:129693756-129694065",FALSE
"chr11",131897296,131897613,"chr11",131896679,131896987,"AluY",310,"SetA","1nM","chr11:131896679-131896987",FALSE
"chr11",131900351,131900557,"chr11",131896679,131896987,"AluY",3365,"SetA","1nM","chr11:131896679-131896987",FALSE
"chr12",105476,105744,"chr12",107397,107709,"AluY",1654,"SetA","1nM","chr12:107397-107709",FALSE
"chr12",5635026,5635509,"chr12",5638227,5638534,"AluY",2719,"SetA","1nM","chr12:5638227-5638534",FALSE
"chr12",6088928,6089163,"chr12",6088196,6088492,"AluY",437,"SetA","1nM","chr12:6088196-6088492",FALSE
"chr12",6363934,6364229,"chr12",6364473,6364776,"AluY",245,"SetA","1nM","chr12:6364473-6364776",FALSE
"chr12",15274001,15274250,"chr12",15273146,15273440,"AluY",562,"SetA","1nM","chr12:15273146-15273440",FALSE
"chr12",23235431,23235726,"chr12",23231999,23232294,"AluY",3138,"SetA","1nM","chr12:23231999-23232294",FALSE
"chr12",64625396,64625630,"chr12",64624671,64624966,"AluY",431,"SetA","1nM","chr12:64624671-64624966",FALSE
"chr12",100952375,100953005,"chr12",100947901,100948178,"AluY",4198,"SetA","1nM","chr12:100947901-100948178",FALSE
"chr12",102548592,102548851,"chr12",102542113,102542407,"AluY",6186,"SetA","1nM","chr12:102542113-102542407",FALSE
"chr12",119171200,119171561,"chr12",119170694,119170994,"AluY",207,"SetA","1nM","chr12:119170694-119170994",FALSE
"chr12",119172576,119172767,"chr12",119170694,119170994,"AluY",1583,"SetA","1nM","chr12:119170694-119170994",FALSE
"chr13",32068287,32068550,"chr13",32068908,32069214,"AluY",359,"SetA","1nM","chr13:32068908-32069214",FALSE
"chr13",36629699,36629901,"chr13",36631424,36631698,"AluY",1524,"SetA","1nM","chr13:36631424-36631698",FALSE
"chr13",46143276,46143473,"chr13",46143787,46144100,"AluY",315,"SetA","1nM","chr13:46143787-46144100",FALSE
"chr13",82305660,82306044,"chr13",82304761,82305098,"AluY",563,"SetA","1nM","chr13:82304761-82305098",FALSE
"chr13",113863839,113864094,"chr13",113864979,113865287,"AluY",886,"SetA","1nM","chr13:113864979-113865287",FALSE
"chr14",42720121,42720352,"chr14",42725773,42726072,"AluY",5422,"SetA","1nM","chr14:42725773-42726072",FALSE
"chr14",69357656,69357865,"chr14",69356554,69356855,"AluY",802,"SetA","1nM","chr14:69356554-69356855",FALSE
"chr14",71475981,71476212,"chr14",71476649,71476907,"AluY",438,"SetA","1nM","chr14:71476649-71476907",FALSE
"chr14",91418090,91418527,"chr14",91419944,91420221,"AluY",1418,"SetA","1nM","chr14:91419944-91420221",FALSE
"chr14",99964915,99965427,"chr14",99963956,99964276,"AluY",640,"SetA","1nM","chr14:99963956-99964276",FALSE
"chr14",105032266,105032689,"chr14",105031965,105032272,"AluY",0,"SetA","1nM","chr14:105031965-105032272",FALSE
"chr15",70362326,70362672,"chr15",70361500,70361791,"AluY",536,"SetA","1nM","chr15:70361500-70361791",FALSE
"chr15",78135398,78135728,"chr15",78135684,78135952,"AluY",0,"SetA","1nM","chr15:78135684-78135952",FALSE
"chr15",80696852,80697065,"chr15",80698061,80698363,"AluY",997,"SetA","1nM","chr15:80698061-80698363",FALSE
"chr15",82952160,82952440,"chr15",82953591,82953896,"AluY",1152,"SetA","1nM","chr15:82953591-82953896",FALSE
"chr15",95895598,95895882,"chr15",95896419,95896724,"AluY",538,"SetA","1nM","chr15:95896419-95896724",FALSE
"chr16",327165,327431,"chr16",326858,327154,"AluY",12,"SetA","1nM","chr16:326858-327154",FALSE
"chr16",2719224,2719587,"chr16",2718313,2718616,"AluY",609,"SetA","1nM","chr16:2718313-2718616",FALSE
"chr16",3166458,3166987,"chr16",3167517,3167828,"AluY",531,"SetA","1nM","chr16:3167517-3167828",FALSE
"chr16",11130495,11130811,"chr16",11129762,11130061,"AluY",435,"SetA","1nM","chr16:11129762-11130061",FALSE
"chr16",35524037,35524312,"chr16",35524686,35524995,"AluY",375,"SetA","1nM","chr16:35524686-35524995",FALSE
"chr17",39812561,39812767,"chr17",39812816,39813104,"AluY",50,"SetA","1nM","chr17:39812816-39813104",FALSE
"chr17",40549318,40549503,"chr17",40545001,40545309,"AluY",4010,"SetA","1nM","chr17:40545001-40545309",FALSE
"chr17",41525685,41525896,"chr17",41525959,41526273,"AluY",64,"SetA","1nM","chr17:41525959-41526273",FALSE
"chr17",57085616,57085975,"chr17",57083944,57084247,"AluY",1370,"SetA","1nM","chr17:57083944-57084247",FALSE
"chr17",57375777,57376147,"chr17",57376922,57377219,"AluY",776,"SetA","1nM","chr17:57376922-57377219",TRUE
"chr17",57376750,57376936,"chr17",57376922,57377219,"AluY",0,"SetA","1nM","chr17:57376922-57377219",TRUE
"chr17",57458329,57458546,"chr17",57458099,57458399,"AluY",0,"SetA","1nM","chr17:57458099-57458399",FALSE
"chr17",60346852,60347360,"chr17",60347351,60347652,"AluY",0,"SetA","1nM","chr17:60347351-60347652",FALSE
"chr17",72617950,72618320,"chr17",72618975,72619278,"AluY",656,"SetA","1nM","chr17:72618975-72619278",FALSE
"chr17",82103721,82104213,"chr17",82104530,82104837,"AluY",318,"SetA","1nM","chr17:82104530-82104837",FALSE
"chr17",82234908,82235141,"chr17",82233834,82234139,"AluY",770,"SetA","1nM","chr17:82233834-82234139",FALSE
"chr17",83180995,83181254,"chr17",83170304,83170603,"AluY",10393,"SetA","1nM","chr17:83170304-83170603",FALSE
"chr17",83189778,83190013,"chr17",83170304,83170603,"AluY",19176,"SetA","1nM","chr17:83170304-83170603",FALSE
"chr18",13223584,13223918,"chr18",13224467,13224779,"AluY",550,"SetA","1nM","chr18:13224467-13224779",FALSE
"chr18",48548298,48548538,"chr18",48551792,48552101,"AluY",3255,"SetA","1nM","chr18:48551792-48552101",FALSE
"chr18",77054766,77055062,"chr18",77057824,77058117,"AluY",2763,"SetA","1nM","chr18:77057824-77058117",FALSE
"chr18",77055201,77055384,"chr18",77057824,77058117,"AluY",2441,"SetA","1nM","chr18:77057824-77058117",FALSE
"chr19",1181567,1182180,"chr19",1181113,1181394,"AluY",174,"SetA","1nM","chr19:1181113-1181394",FALSE
"chr19",4538432,4538642,"chr19",4537557,4537866,"AluY",567,"SetA","1nM","chr19:4537557-4537866",FALSE
"chr19",15562947,15563190,"chr19",15562555,15562838,"AluY",110,"SetA","1nM","chr19:15562555-15562838",FALSE
"chr19",16463965,16464260,"chr19",16464805,16465094,"AluY",546,"SetA","1nM","chr19:16464805-16465094",FALSE
"chr19",57798716,57798925,"chr19",57798889,57799185,"AluY",0,"SetA","1nM","chr19:57798889-57799185",FALSE
"chr2",10021792,10022053,"chr2",10021265,10021553,"AluY",240,"SetA","1nM","chr2:10021265-10021553",FALSE
"chr2",13055157,13055487,"chr2",13055403,13055709,"AluY",0,"SetA","1nM","chr2:13055403-13055709",FALSE
"chr2",24084247,24084447,"chr2",24085953,24086252,"AluY",1507,"SetA","1nM","chr2:24085953-24086252",FALSE
"chr2",42035942,42036213,"chr2",42036703,42037007,"AluY",491,"SetA","1nM","chr2:42036703-42037007",FALSE
"chr2",42342517,42342835,"chr2",42344570,42344863,"AluY",1736,"SetA","1nM","chr2:42344570-42344863",FALSE
"chr2",45820751,45820940,"chr2",45817411,45817710,"AluY",3042,"SetA","1nM","chr2:45817411-45817710",FALSE
"chr2",72572601,72572799,"chr2",72573833,72574129,"AluY",1035,"SetA","1nM","chr2:72573833-72574129",FALSE
"chr2",72574950,72575271,"chr2",72573833,72574129,"AluY",822,"SetA","1nM","chr2:72573833-72574129",FALSE
"chr2",73431890,73432076,"chr2",73430077,73430375,"AluY",1516,"SetA","1nM","chr2:73430077-73430375",FALSE
"chr2",104481651,104481931,"chr2",104483716,104484021,"AluY",1786,"SetA","1nM","chr2:104483716-104484021",FALSE
"chr2",111932750,111933176,"chr2",111932189,111932480,"AluY",271,"SetA","1nM","chr2:111932189-111932480",FALSE
"chr2",133443143,133443341,"chr2",133440428,133440735,"AluY",2409,"SetA","1nM","chr2:133440428-133440735",FALSE
"chr2",137508858,137509105,"chr2",137508376,137508668,"AluY",191,"SetA","1nM","chr2:137508376-137508668",FALSE
"chr2",138435697,138436056,"chr2",138437008,138437309,"AluY",953,"SetA","1nM","chr2:138437008-138437309",FALSE
"chr2",139245253,139245644,"chr2",139246504,139246784,"AluY",861,"SetA","1nM","chr2:139246504-139246784",FALSE
"chr2",149205187,149205388,"chr2",149212096,149212408,"AluY",6709,"SetA","1nM","chr2:149212096-149212408",FALSE
"chr2",157125271,157125532,"chr2",157124177,157124477,"AluY",795,"SetA","1nM","chr2:157124177-157124477",FALSE
"chr2",172274756,172274942,"chr2",172273213,172273520,"AluY",1237,"SetA","1nM","chr2:172273213-172273520",FALSE
"chr2",189541336,189541970,"chr2",189539690,189539987,"AluY",1350,"SetA","1nM","chr2:189539690-189539987",FALSE
"chr2",217092634,217092917,"chr2",217088713,217089019,"AluY",3616,"SetA","1nM","chr2:217088713-217089019",FALSE
"chr2",224331697,224332176,"chr2",224332017,224332330,"AluY",0,"SetA","1nM","chr2:224332017-224332330",FALSE
"chr2",237235428,237235874,"chr2",237237582,237237894,"AluY",1709,"SetA","1nM","chr2:237237582-237237894",FALSE
"chr20",34350262,34350493,"chr20",34350510,34350818,"AluY",18,"SetA","1nM","chr20:34350510-34350818",FALSE
"chr20",48663729,48664123,"chr20",48664092,48664397,"AluY",0,"SetA","1nM","chr20:48664092-48664397",FALSE
"chr20",50284759,50285111,"chr20",50287209,50287511,"AluY",2099,"SetA","1nM","chr20:50287209-50287511",FALSE
"chr21",15005339,15005700,"chr21",15011198,15011486,"AluY",5499,"SetA","1nM","chr21:15011198-15011486",FALSE
"chr21",15199964,15200319,"chr21",15202156,15202452,"AluY",1838,"SetA","1nM","chr21:15202156-15202452",FALSE
"chr21",15200685,15200868,"chr21",15202156,15202452,"AluY",1289,"SetA","1nM","chr21:15202156-15202452",FALSE
"chr21",15203633,15204065,"chr21",15202156,15202452,"AluY",1182,"SetA","1nM","chr21:15202156-15202452",FALSE
"chr21",15204245,15204589,"chr21",15202156,15202452,"AluY",1794,"SetA","1nM","chr21:15202156-15202452",FALSE
"chr21",15204955,15205205,"chr21",15202156,15202452,"AluY",2504,"SetA","1nM","chr21:15202156-15202452",FALSE
"chr21",17746091,17746344,"chr21",17745476,17745782,"AluY",310,"SetA","1nM","chr21:17745476-17745782",FALSE
"chr21",31529422,31529737,"chr21",31528920,31529218,"AluY",205,"SetA","1nM","chr21:31528920-31529218",FALSE
"chr21",36193347,36193568,"chr21",36192685,36192987,"AluY",361,"SetA","1nM","chr21:36192685-36192987",FALSE
"chr21",39524015,39524275,"chr21",39524885,39525183,"AluY",611,"SetA","1nM","chr21:39524885-39525183",FALSE
"chr21",44764770,44765065,"chr21",44769378,44769677,"AluY",4314,"SetA","1nM","chr21:44769378-44769677",FALSE
"chr21",45403335,45403536,"chr21",45400846,45401143,"AluY",2193,"SetA","1nM","chr21:45400846-45401143",FALSE
"chr21",46200965,46201224,"chr21",46201799,46202092,"AluY",576,"SetA","1nM","chr21:46201799-46202092",FALSE
"chr22",18119631,18120050,"chr22",18117491,18117802,"AluY",1830,"SetA","1nM","chr22:18117491-18117802",FALSE
"chr22",24531998,24532512,"chr22",24531758,24532071,"AluY",0,"SetA","1nM","chr22:24531758-24532071",FALSE
"chr22",25400872,25401119,"chr22",25400262,25400562,"AluY",311,"SetA","1nM","chr22:25400262-25400562",FALSE
"chr22",27345411,27345672,"chr22",27346324,27346620,"AluY",653,"SetA","1nM","chr22:27346324-27346620",FALSE
"chr22",38222880,38223082,"chr22",38224105,38224413,"AluY",1024,"SetA","1nM","chr22:38224105-38224413",FALSE
"chr22",46465782,46466078,"chr22",46467541,46467840,"AluY",1464,"SetA","1nM","chr22:46467541-46467840",FALSE
"chr22",46488934,46489138,"chr22",46488665,46488958,"AluY",0,"SetA","1nM","chr22:46488665-46488958",FALSE
"chr3",4581691,4581997,"chr3",4579929,4580226,"AluY",1466,"SetA","1nM","chr3:4579929-4580226",FALSE
"chr3",31948039,31948286,"chr3",31949386,31949697,"AluY",1101,"SetA","1nM","chr3:31949386-31949697",FALSE
"chr3",32110329,32110595,"chr3",32109905,32110217,"AluY",113,"SetA","1nM","chr3:32109905-32110217",FALSE
"chr3",57041517,57041772,"chr3",57042701,57042996,"AluY",930,"SetA","1nM","chr3:57042701-57042996",FALSE
"chr3",61708084,61708503,"chr3",61708443,61708755,"AluY",0,"SetA","1nM","chr3:61708443-61708755",FALSE
"chr3",64501537,64501720,"chr3",64500456,64500756,"AluY",782,"SetA","1nM","chr3:64500456-64500756",FALSE
"chr3",66416046,66416333,"chr3",66414115,66414423,"AluY",1624,"SetA","1nM","chr3:66414115-66414423",FALSE
"chr3",100104145,100104459,"chr3",100094674,100094987,"AluY",9159,"SetA","1nM","chr3:100094674-100094987",FALSE
"chr3",123626981,123627239,"chr3",123625526,123625825,"AluY",1157,"SetA","1nM","chr3:123625526-123625825",FALSE
"chr3",123627749,123627995,"chr3",123625526,123625825,"AluY",1925,"SetA","1nM","chr3:123625526-123625825",FALSE
"chr3",126211784,126212066,"chr3",126206852,126207108,"AluY",4677,"SetA","1nM","chr3:126206852-126207108",FALSE
"chr3",146160538,146160734,"chr3",146163148,146163459,"AluY",2415,"SetA","1nM","chr3:146163148-146163459",FALSE
"chr3",151085276,151085493,"chr3",151084126,151084464,"AluY",813,"SetA","1nM","chr3:151084126-151084464",FALSE
"chr3",164380246,164380571,"chr3",164379356,164379675,"AluY",572,"SetA","1nM","chr3:164379356-164379675",FALSE
"chr3",164634809,164635258,"chr3",164636648,164636961,"AluY",1391,"SetA","1nM","chr3:164636648-164636961",FALSE
"chr3",189772973,189773239,"chr3",189773915,189774221,"AluY",677,"SetA","1nM","chr3:189773915-189774221",FALSE
"chr4",997821,998095,"chr4",998963,999231,"AluY",869,"SetA","1nM","chr4:998963-999231",FALSE
"chr4",3461014,3461905,"chr4",3456213,3456523,"AluY",4492,"SetA","1nM","chr4:3456213-3456523",FALSE
"chr4",3463213,3463669,"chr4",3456213,3456523,"AluY",6691,"SetA","1nM","chr4:3456213-3456523",FALSE
"chr4",3827547,3827850,"chr4",3823166,3823473,"AluY",4075,"SetA","1nM","chr4:3823166-3823473",FALSE
"chr4",6110423,6110724,"chr4",6109124,6109425,"AluY",999,"SetA","1nM","chr4:6109124-6109425",FALSE
"chr4",10656137,10656707,"chr4",10655637,10655948,"AluY",190,"SetA","1nM","chr4:10655637-10655948",FALSE
"chr4",48853045,48853398,"chr4",48852865,48853178,"AluY",0,"SetA","1nM","chr4:48852865-48853178",FALSE
"chr4",76569231,76569552,"chr4",76567369,76567656,"AluY",1576,"SetA","1nM","chr4:76567369-76567656",FALSE
"chr4",124977714,124977925,"chr4",124972102,124972413,"AluY",5302,"SetA","1nM","chr4:124972102-124972413",FALSE
"chr4",139875440,139875756,"chr4",139874800,139875101,"AluY",340,"SetA","1nM","chr4:139874800-139875101",FALSE
"chr4",168677203,168677398,"chr4",168676588,168676878,"AluY",326,"SetA","1nM","chr4:168676588-168676878",FALSE
"chr5",301715,302917,"chr5",299551,299847,"AluY",1869,"SetA","1nM","chr5:299551-299847",FALSE
"chr5",19734775,19735344,"chr5",19735396,19735694,"AluY",53,"SetA","1nM","chr5:19735396-19735694",FALSE
"chr5",44539631,44539814,"chr5",44538022,44538316,"AluY",1316,"SetA","1nM","chr5:44538022-44538316",FALSE
"chr5",56429106,56429515,"chr5",56431441,56431748,"AluY",1927,"SetA","1nM","chr5:56431441-56431748",FALSE
"chr5",58127100,58127312,"chr5",58128829,58129167,"AluY",1518,"SetA","1nM","chr5:58128829-58129167",FALSE
"chr5",91939168,91939415,"chr5",91933951,91934257,"AluY",4912,"SetA","1nM","chr5:91933951-91934257",FALSE
"chr5",119564210,119564472,"chr5",119568244,119568551,"AluY",3773,"SetA","1nM","chr5:119568244-119568551",FALSE
"chr5",119564777,119565052,"chr5",119568244,119568551,"AluY",3193,"SetA","1nM","chr5:119568244-119568551",FALSE
"chr5",134037265,134037527,"chr5",134036671,134036982,"AluY",284,"SetA","1nM","chr5:134036671-134036982",FALSE
"chr5",160287584,160287896,"chr5",160288589,160288855,"AluY",694,"SetA","1nM","chr5:160288589-160288855",FALSE
"chr6",681081,681354,"chr6",682195,682499,"AluY",842,"SetA","1nM","chr6:682195-682499",FALSE
"chr6",11067339,11067782,"chr6",11069433,11069743,"AluY",1652,"SetA","1nM","chr6:11069433-11069743",FALSE
"chr6",31810377,31810836,"chr6",31809270,31809556,"AluY",822,"SetA","1nM","chr6:31809270-31809556",FALSE
"chr6",37102369,37102589,"chr6",37101567,37101876,"AluY",494,"SetA","1nM","chr6:37101567-37101876",FALSE
"chr6",42122775,42123010,"chr6",42123099,42123411,"AluY",90,"SetA","1nM","chr6:42123099-42123411",FALSE
"chr6",74969338,74970276,"chr6",74977934,74978230,"AluY",7659,"SetA","1nM","chr6:74977934-74978230",FALSE
"chr6",74971646,74971933,"chr6",74977934,74978230,"AluY",6002,"SetA","1nM","chr6:74977934-74978230",FALSE
"chr6",122694633,122694910,"chr6",122688778,122689080,"AluY",5554,"SetA","1nM","chr6:122688778-122689080",FALSE
"chr6",125205133,125205456,"chr6",125204476,125204778,"AluY",356,"SetA","1nM","chr6:125204476-125204778",FALSE
"chr6",134529904,134530240,"chr6",134530387,134530687,"AluY",148,"SetA","1nM","chr6:134530387-134530687",FALSE
"chr6",139512639,139512818,"chr6",139511688,139511976,"AluY",664,"SetA","1nM","chr6:139511688-139511976",FALSE
"chr6",139569297,139569566,"chr6",139567705,139568001,"AluY",1297,"SetA","1nM","chr6:139567705-139568001",FALSE
"chr6",139588097,139588731,"chr6",139587262,139587574,"AluY",524,"SetA","1nM","chr6:139587262-139587574",FALSE
"chr6",149717603,149717787,"chr6",149718962,149719268,"AluY",1176,"SetA","1nM","chr6:149718962-149719268",FALSE
"chr7",10663361,10663596,"chr7",10664600,10664898,"AluY",1005,"SetA","1nM","chr7:10664600-10664898",FALSE
"chr7",33832862,33833247,"chr7",33833365,33833681,"AluY",119,"SetA","1nM","chr7:33833365-33833681",FALSE
"chr7",35025269,35025581,"chr7",35023823,35024135,"AluY",1135,"SetA","1nM","chr7:35023823-35024135",FALSE
"chr7",45414281,45414463,"chr7",45412472,45412767,"AluY",1515,"SetA","1nM","chr7:45412472-45412767",FALSE
"chr7",47406042,47406277,"chr7",47404604,47404913,"AluY",1130,"SetA","1nM","chr7:47404604-47404913",FALSE
"chr7",47477458,47477813,"chr7",47483171,47483468,"AluY",5359,"SetA","1nM","chr7:47483171-47483468",FALSE
"chr7",66013869,66014198,"chr7",66014277,66014577,"AluY",80,"SetA","1nM","chr7:66014277-66014577",FALSE
"chr7",140017666,140017886,"chr7",140016047,140016332,"AluY",1335,"SetA","1nM","chr7:140016047-140016332",FALSE
"chr7",140992560,140992889,"chr7",140993293,140993595,"AluY",405,"SetA","1nM","chr7:140993293-140993595",FALSE
"chr7",142356036,142356556,"chr7",142357248,142357538,"AluY",693,"SetA","1nM","chr7:142357248-142357538",FALSE
"chr7",151856578,151856902,"chr7",151853488,151853778,"AluY",2801,"SetA","1nM","chr7:151853488-151853778",FALSE
"chr8",1260989,1261502,"chr8",1266950,1267231,"AluY",5449,"SetA","1nM","chr8:1266950-1267231",FALSE
"chr8",17923157,17923400,"chr8",17925554,17925849,"AluY",2155,"SetA","1nM","chr8:17925554-17925849",FALSE
"chr8",115998234,115998543,"chr8",115994034,115994347,"AluY",3888,"SetA","1nM","chr8:115994034-115994347",FALSE
"chr8",118620211,118620398,"chr8",118619242,118619497,"AluY",715,"SetA","1nM","chr8:118619242-118619497",FALSE
"chr8",127866306,127866495,"chr8",127864547,127864847,"AluY",1460,"SetA","1nM","chr8:127864547-127864847",FALSE
"chr8",127953090,127953445,"chr8",127952770,127953063,"AluY",28,"SetA","1nM","chr8:127952770-127953063",FALSE
"chr9",33199905,33200127,"chr9",33198998,33199304,"AluY",602,"SetA","1nM","chr9:33198998-33199304",FALSE
"chr9",84056260,84056515,"chr9",84055808,84056078,"AluY",183,"SetA","1nM","chr9:84055808-84056078",FALSE
"chr9",89873000,89873216,"chr9",89870697,89871003,"AluY",1998,"SetA","1nM","chr9:89870697-89871003",FALSE
"chr9",115326514,115326754,"chr9",115324427,115324735,"AluY",1780,"SetA","1nM","chr9:115324427-115324735",FALSE
"chr9",129488645,129488998,"chr9",129489329,129489625,"AluY",332,"SetA","1nM","chr9:129489329-129489625",FALSE
"chr9",134702518,134702804,"chr9",134703627,134703938,"AluY",824,"SetA","1nM","chr9:134703627-134703938",FALSE
"chr9",134896482,134896666,"chr9",134893535,134893839,"AluY",2644,"SetA","1nM","chr9:134893535-134893839",FALSE
"chrX",6461394,6461605,"chrX",6459036,6459328,"AluY",2067,"SetA","1nM","chrX:6459036-6459328",FALSE
"chrX",7218482,7218760,"chrX",7220543,7220847,"AluY",1784,"SetA","1nM","chrX:7220543-7220847",FALSE
"chrX",7219116,7219430,"chrX",7220543,7220847,"AluY",1114,"SetA","1nM","chrX:7220543-7220847",FALSE
"chrX",9421446,9421685,"chrX",9422071,9422372,"AluY",387,"SetA","1nM","chrX:9422071-9422372",FALSE
"chrX",39895233,39895420,"chrX",39896598,39896925,"AluY",1179,"SetA","1nM","chrX:39896598-39896925",FALSE
"chrX",54696247,54696634,"chrX",54702557,54702849,"AluY",5924,"SetA","1nM","chrX:54702557-54702849",FALSE
"chrX",54747689,54748044,"chrX",54743835,54744135,"AluY",3555,"SetA","1nM","chrX:54743835-54744135",FALSE
"chr1",25568239,25568426,"chr1",25570577,25570878,"AluY",2152,"SetB","1nM","chr1:25570577-25570878",FALSE
"chr1",36204173,36204414,"chr1",36204933,36205230,"AluY",520,"SetB","1nM","chr1:36204933-36205230",FALSE
"chr1",39142863,39143169,"chr1",39143762,39144080,"AluY",594,"SetB","1nM","chr1:39143762-39144080",FALSE
"chr1",42992395,42992755,"chr1",42992969,42993270,"AluY",215,"SetB","1nM","chr1:42992969-42993270",FALSE
"chr1",42993651,42993854,"chr1",42992969,42993270,"AluY",382,"SetB","1nM","chr1:42992969-42993270",FALSE
"chr1",51558726,51558928,"chr1",51558014,51558295,"AluY",432,"SetB","1nM","chr1:51558014-51558295",FALSE
"chr1",147669743,147670037,"chr1",147671121,147671433,"AluY",1085,"SetB","1nM","chr1:147671121-147671433",FALSE
"chr1",171257451,171257746,"chr1",171255991,171256294,"AluY",1158,"SetB","1nM","chr1:171255991-171256294",FALSE
"chr1",177448719,177449099,"chr1",177449964,177450277,"AluY",866,"SetB","1nM","chr1:177449964-177450277",FALSE
"chr1",203059391,203059667,"chr1",203062195,203062506,"AluY",2529,"SetB","1nM","chr1:203062195-203062506",FALSE
"chr1",206847542,206847915,"chr1",206848499,206848813,"AluY",585,"SetB","1nM","chr1:206848499-206848813",FALSE
"chr10",29124873,29125350,"chr10",29125288,29125586,"AluY",0,"SetB","1nM","chr10:29125288-29125586",FALSE
"chr10",29622497,29622754,"chr10",29621968,29622278,"AluY",220,"SetB","1nM","chr10:29621968-29622278",FALSE
"chr10",43038046,43038311,"chr10",43031637,43031950,"AluY",6097,"SetB","1nM","chr10:43031637-43031950",FALSE
"chr10",72272640,72272922,"chr10",72271776,72272086,"AluY",555,"SetB","1nM","chr10:72271776-72272086",FALSE
"chr10",88385586,88385890,"chr10",88380395,88380683,"AluY",4904,"SetB","1nM","chr10:88380395-88380683",FALSE
"chr10",98363179,98363394,"chr10",98362679,98362985,"AluY",195,"SetB","1nM","chr10:98362679-98362985",FALSE
"chr10",102710701,102711029,"chr10",102711469,102711782,"AluY",441,"SetB","1nM","chr10:102711469-102711782",FALSE
"chr10",104480877,104481122,"chr10",104478926,104479226,"AluY",1652,"SetB","1nM","chr10:104478926-104479226",FALSE
"chr10",113678541,113679118,"chr10",113677808,113678119,"AluY",423,"SetB","1nM","chr10:113677808-113678119",FALSE
"chr10",121553902,121554086,"chr10",121554333,121554669,"AluY",248,"SetB","1nM","chr10:121554333-121554669",FALSE
"chr10",126175889,126176223,"chr10",126174757,126175055,"AluY",835,"SetB","1nM","chr10:126174757-126175055",FALSE
"chr10",128540923,128541562,"chr10",128534032,128534328,"AluY",6596,"SetB","1nM","chr10:128534032-128534328",FALSE
"chr11",2169070,2169717,"chr11",2174987,2175292,"AluY",5271,"SetB","1nM","chr11:2174987-2175292",FALSE
"chr11",60757215,60757506,"chr11",60755234,60755532,"AluY",1684,"SetB","1nM","chr11:60755234-60755532",FALSE
"chr11",60880953,60881327,"chr11",60884732,60885043,"AluY",3406,"SetB","1nM","chr11:60884732-60885043",FALSE
"chr11",69654436,69654728,"chr11",69660430,69660726,"AluY",5703,"SetB","1nM","chr11:69660430-69660726",FALSE
"chr11",75036040,75036348,"chr11",75036975,75037269,"AluY",628,"SetB","1nM","chr11:75036975-75037269",FALSE
"chr11",78268292,78268564,"chr11",78267576,78267881,"AluY",412,"SetB","1nM","chr11:78267576-78267881",FALSE
"chr11",79059780,79060568,"chr11",79058261,79058565,"AluY",1216,"SetB","1nM","chr11:79058261-79058565",FALSE
"chr11",83362086,83362310,"chr11",83361478,83361799,"AluY",288,"SetB","1nM","chr11:83361478-83361799",FALSE
"chr11",84687532,84687780,"chr11",84685712,84685986,"AluY",1547,"SetB","1nM","chr11:84685712-84685986",FALSE
"chr11",94544166,94544388,"chr11",94542625,94542926,"AluY",1241,"SetB","1nM","chr11:94542625-94542926",FALSE
